0,4,9,99,20,146,34,"Wages,",OTHER
1,11,15,148,21,177,34,"tips,",OTHER
2,17,21,180,21,214,34,other,OTHER
3,23,27,217,21,257,35,comp.,OTHER
4,36,36,323,19,334,34,2,OTHER
5,38,44,350,19,399,34,Federal,OTHER
6,46,51,402,20,451,33,income,OTHER
7,53,55,454,20,475,33,tax,OTHER
8,57,64,478,20,534,34,withheld,OTHER
9,75,83,132,38,201,51,217889.17,box1WagesTipsAndOtherCompensations
10,125,132,453,38,516,51,72621.77,box2FederalIncomeTaxWithheld
11,134,134,68,71,76,83,3,OTHER
12,136,141,100,73,140,86,Social,OTHER
13,143,150,142,73,193,86,security,OTHER
14,152,156,195,73,239,87,wages,OTHER
15,171,171,324,69,335,85,4,OTHER
16,173,178,351,73,392,86,Social,OTHER
17,180,187,394,73,445,86,security,OTHER
18,189,191,447,72,468,86,tax,OTHER
19,193,200,471,72,528,86,withheld,OTHER
20,211,219,132,89,202,102,153323.57,box3SocialSecurityWages
21,261,266,452,90,498,103,11729.,box4SocialSecurityTaxWithheld
22,268,269,500,90,517,103,25,box4SocialSecurityTaxWithheld
23,271,271,68,123,75,136,5,OTHER
24,273,280,98,124,159,137,Medicare,OTHER
25,282,286,161,125,205,138,wages,OTHER
26,288,290,207,125,232,138,and,OTHER
27,292,295,234,125,257,138,tips,OTHER
28,307,307,323,123,333,137,6,OTHER
29,309,316,350,124,410,138,Medicare,OTHER
30,318,320,413,124,434,137,tax,OTHER
31,322,329,437,124,492,138,withheld,OTHER
32,340,346,132,142,187,154,262726.,OTHER
33,348,349,188,142,204,154,78,OTHER
34,390,394,453,142,489,154,7619.,OTHER
35,396,397,491,141,508,154,08,box4SocialSecurityTaxWithheld
36,399,399,69,173,80,188,d,OTHER
37,401,407,95,176,142,190,Control,OTHER
38,409,414,145,177,195,190,number,OTHER
39,428,431,259,175,287,189,Dept,OTHER
40,433,437,323,176,353,190,Corp.,OTHER
41,466,473,501,176,555,190,Employer,OTHER
