0,0,0,907,1024,930,1045,this,OTHER
1,0,0,412,1039,468,1069,Sons,OTHER
2,0,0,1193,1034,1244,1059,Service.,OTHER
3,0,0,1151,1045,1183,1067,other,OTHER
4,0,0,234,1448,284,1470,number,OTHER
5,0,0,223,1554,271,1584,and,OTHER
6,75,84,489,41,563,69,Employee's,einEmployerIdentificationNumber
7,86,91,564,51,604,75,social,OTHER
8,93,100,604,58,656,84,security,OTHER
9,105,105,258,55,273,75,b,box1WagesTipsAndOtherCompensations
10,106,106,219,308,234,327,e,employerName
11,148,148,122,915,137,936,b,OTHER
12,150,157,275,58,332,85,Employer,box1WagesTipsAndOtherCompensations
13,159,172,333,67,407,97,identification,ssnOfEmployee
14,174,179,408,79,454,104,number,OTHER
15,181,185,455,87,490,108,(EIN),box2FederalIncomeTaxWithheld
16,235,244,309,87,449,128,03-2601245,einEmployerIdentificationNumber
17,274,284,559,75,713,116,500-43-5055,ssnOfEmployee
18,324,324,252,105,266,127,c,OTHER
19,326,335,267,108,334,137,Employer's,einEmployerIdentificationNumber
20,337,341,334,118,373,144,"name,",OTHER
21,343,350,374,125,428,152,"address,",OTHER
22,352,354,429,133,452,155,and,OTHER
23,356,358,453,137,475,158,ZIP,OTHER
24,360,363,476,140,509,163,code,taxYear
25,428,430,859,121,888,142,OMB,OTHER
26,432,434,889,125,914,146,No.,OTHER
27,436,444,915,130,972,157,1545-0008,OTHER
28,492,504,298,139,484,191,Miller-Thomas,employerName
29,506,508,495,171,542,200,and,employerName
30,510,513,549,179,610,211,Sons,OTHER
31,614,618,1028,125,1067,149,"Safe,",box2FederalIncomeTaxWithheld
32,620,628,1068,131,1145,163,"Accurate,",OTHER
33,798,802,1022,148,1076,174,FAST!,box4SocialSecurityTaxWithheld
34,803,814,1053,183,1138,209,compensation,OTHER
35,970,975,943,163,991,190,"Wages,",box1WagesTipsAndOtherCompensations
36,977,981,991,172,1020,195,"tips,",box1WagesTipsAndOtherCompensations
37,984,986,1324,172,1348,193,the,OTHER
